Date ,VIX Close ,Reliance Close Price  
17-Jan-25,15.7475,"1,302.35"
20-Jan-25,16.415,"1,305.45"
21-Jan-25,17.055,"1,273.70"
22-Jan-25,16.7725,"1,277.10"
23-Jan-25,16.695,"1,263.65"
24-Jan-25,16.745,"1,246.30"
27-Jan-25,18.1325,"1,229.35"
28-Jan-25,18.195,"1,234.40"
29-Jan-25,18.64,"1,235.50"
30-Jan-25,17.39,"1,253.05"
31-Jan-25,16.2475,"1,265.10"
01-Feb-25,14.095,"1,264.60"
03-Feb-25,14.3525,"1,245.90"
04-Feb-25,14.0175,"1,285.20"
05-Feb-25,14.0825,"1,278.20"
06-Feb-25,14.175,"1,281.55"
07-Feb-25,13.685,"1,266.70"
10-Feb-25,14.445,"1,253.65"
11-Feb-25,14.87,"1,234.85"
12-Feb-25,14.895,"1,216.55"
13-Feb-25,14.955,"1,216.10"
14-Feb-25,15.015,"1,217.25"
17-Feb-25,15.7225,"1,224.90"
18-Feb-25,15.665,"1,225.40"
19-Feb-25,15.42,"1,227.45"
20-Feb-25,14.6825,"1,233.00"
21-Feb-25,14.53,"1,228.15"
24-Feb-25,14.44,"1,214.55"
25-Feb-25,13.72,"1,204.00"
27-Feb-25,13.31,"1,207.10"
28-Feb-25,13.91,"1,200.10"
03-Mar-25,13.76,"1,171.25"
04-Mar-25,13.83,"1,161.90"
05-Mar-25,13.67,"1,175.60"
06-Mar-25,13.73,"1,209.60"
07-Mar-25,13.47,"1,249.80"
10-Mar-25,13.99,"1,238.40"
11-Mar-25,14.07,"1,247.30"
12-Mar-25,13.69,"1,257.05"
13-Mar-25,13.28,"1,247.90"
17-Mar-25,13.42,"1,238.85"
18-Mar-25,13.21,"1,238.80"
19-Mar-25,13.3,"1,247.15"
20-Mar-25,12.6,"1,269.15"
21-Mar-25,12.58,"1,276.35"
24-Mar-25,13.7,"1,302.10"
25-Mar-25,13.64,"1,285.45"
26-Mar-25,13.47,"1,273.05"
27-Mar-25,13.3,"1,278.20"
28-Mar-25,12.72,"1,275.10"
01-Apr-25,13.78,"1,252.60"
02-Apr-25,13.72,"1,251.15"
03-Apr-25,13.6,"1,248.70"
04-Apr-25,13.76,"1,204.70"
07-Apr-25,22.79,"1,165.70"
08-Apr-25,20.44,"1,182.20"
09-Apr-25,21.43,"1,185.35"
11-Apr-25,20.11,"1,218.95"
15-Apr-25,16.13,"1,240.10"
16-Apr-25,15.87,"1,239.30"
17-Apr-25,15.47,"1,274.50"
21-Apr-25,15.52,"1,295.50"
22-Apr-25,15.23,"1,291.20"
23-Apr-25,15.96,"1,300.00"
24-Apr-25,16.25,"1,301.60"
25-Apr-25,17.16,"1,300.40"
28-Apr-25,16.94,"1,368.80"
29-Apr-25,17.37,"1,399.70"
30-Apr-25,18.22,"1,405.00"
02-May-25,18.26,"1,422.40"
05-May-25,18.34,"1,431.30"
06-May-25,19,"1,420.90"
07-May-25,19.06,"1,406.00"
08-May-25,21.01,"1,407.00"
09-May-25,21.63,"1,377.20"
12-May-25,18.39,"1,436.50"
13-May-25,18.2,"1,415.70"
14-May-25,17.23,"1,424.40"
15-May-25,16.89,"1,454.20"
16-May-25,16.55,"1,456.40"
19-May-25,17.36,"1,440.80"
20-May-25,17.39,"1,424.60"
21-May-25,17.55,"1,429.20"
22-May-25,17.26,"1,409.40"
23-May-25,17.28,"1,426.80"
26-May-25,18.02,"1,434.80"
27-May-25,18.54,"1,422.10"
28-May-25,18.02,"1,412.90"
29-May-25,16.42,"1,417.80"
30-May-25,16.08,"1,420.90"
02-Jun-25,17.16,"1,413.70"
03-Jun-25,16.56,"1,405.50"
04-Jun-25,15.75,"1,423.50"
05-Jun-25,15.08,"1,442.40"
06-Jun-25,14.63,"1,443.50"
09-Jun-25,14.69,"1,448.80"
10-Jun-25,14.02,"1,438.50"
11-Jun-25,13.67,"1,448.90"
12-Jun-25,14.02,"1,441.60"
13-Jun-25,15.08,"1,427.90"
16-Jun-25,14.84,"1,437.80"
17-Jun-25,14.4,"1,431.20"
18-Jun-25,14.28,"1,430.10"
19-Jun-25,14.26,"1,433.30"
20-Jun-25,13.67,"1,466.20"
23-Jun-25,14.05,"1,456.80"
24-Jun-25,13.64,"1,450.80"
25-Jun-25,12.96,"1,467.30"
26-Jun-25,12.59,"1,495.30"
27-Jun-25,12.39,"1,515.40"
30-Jun-25,12.79,"1,500.60"
01-Jul-25,12.53,"1,528.40"
02-Jul-25,12.45,"1,518.80"
03-Jul-25,12.39,"1,517.80"
04-Jul-25,12.32,"1,527.30"
07-Jul-25,12.56,"1,541.50"
08-Jul-25,12.2,"1,537.60"
09-Jul-25,11.94,"1,519.00"
10-Jul-25,11.67,"1,517.20"
11-Jul-25,11.82,"1,495.20"
14-Jul-25,11.98,"1,483.70"
15-Jul-25,11.48,"1,485.40"
16-Jul-25,11.24,"1,485.60"
17-Jul-25,11.24,"1,476.40"
18-Jul-25,11.39,"1,476.00"
21-Jul-25,11.2,"1,428.60"
22-Jul-25,10.75,"1,412.80"
23-Jul-25,10.52,"1,424.60"
24-Jul-25,10.72,"1,402.90"
25-Jul-25,11.28,"1,391.70"
28-Jul-25,12.06,"1,387.60"
29-Jul-25,11.53,"1,417.10"
30-Jul-25,11.21,"1,410.10"
31-Jul-25,11.54,"1,390.20"
01-Aug-25,11.98,"1,393.70"
04-Aug-25,11.97,"1,411.50"
05-Aug-25,11.71,"1,391.70"
06-Aug-25,11.96,"1,392.80"
07-Aug-25,11.69,"1,389.40"
08-Aug-25,12.03,"1,367.80"
11-Aug-25,12.22,"1,386.20"
12-Aug-25,12.23,"1,380.40"
13-Aug-25,12.14,"1,382.60"
14-Aug-25,12.36,"1,373.80"
18-Aug-25,12.34,"1,381.70"
19-Aug-25,11.79,"1,420.10"
20-Aug-25,11.79,"1,413.00"
21-Aug-25,11.37,"1,424.80"
22-Aug-25,11.73,"1,409.20"
25-Aug-25,11.76,"1,412.60"
26-Aug-25,12.19,"1,384.90"
28-Aug-25,12.18,"1,385.90"
29-Aug-25,11.75,"1,357.20"
01-Sep-25,11.29,"1,353.90"
02-Sep-25,11.4,"1,366.50"
03-Sep-25,10.93,"1,372.60"
04-Sep-25,10.85,"1,359.30"
05-Sep-25,10.78,"1,375.00"
08-Sep-25,10.84,"1,378.50"
09-Sep-25,10.69,"1,376.20"
10-Sep-25,10.54,"1,377.00"
11-Sep-25,10.36,"1,383.30"
12-Sep-25,10.12,"1,395.00"
15-Sep-25,10.4,"1,399.30"
16-Sep-25,10.27,"1,405.30"
17-Sep-25,10.25,"1,413.80"
18-Sep-25,9.89,"1,415.00"
19-Sep-25,9.97,"1,407.40"
22-Sep-25,10.56,"1,390.60"
23-Sep-25,10.63,"1,389.80"
24-Sep-25,10.52,"1,383.00"
25-Sep-25,10.78,"1,372.40"
26-Sep-25,11.43,"1,377.60"
29-Sep-25,11.37,"1,372.80"
30-Sep-25,11.07,"1,364.00"
01-Oct-25,10.29,"1,368.70"
03-Oct-25,10.06,"1,363.40"
06-Oct-25,10.19,"1,375.00"
07-Oct-25,10.05,"1,384.80"
08-Oct-25,10.31,"1,367.40"
09-Oct-25,10.12,"1,377.80"
10-Oct-25,10.1,"1,381.70"
13-Oct-25,11.01,"1,375.00"
14-Oct-25,11.16,"1,375.90"
15-Oct-25,10.53,"1,374.30"
16-Oct-25,10.87,"1,398.30"
17-Oct-25,11.63,"1,416.80"
20-Oct-25,11.36,"1,466.80"
21-Oct-25,11.3,"1,465.20"
23-Oct-25,11.73,"1,448.40"
24-Oct-25,11.59,"1,451.60"
27-Oct-25,11.86,"1,484.10"
28-Oct-25,11.95,"1,486.90"
29-Oct-25,11.97,"1,504.20"
30-Oct-25,12.07,"1,488.50"
31-Oct-25,12.15,"1,486.40"
03-Nov-25,12.67,"1,484.70"
04-Nov-25,12.65,"1,473.10"
06-Nov-25,12.41,"1,496.10"
07-Nov-25,12.56,"1,478.00"
10-Nov-25,12.3,"1,489.30"
11-Nov-25,12.49,"1,493.40"
12-Nov-25,12.11,"1,511.50"
13-Nov-25,12.16,"1,510.90"
14-Nov-25,11.94,"1,518.90"
17-Nov-25,11.79,"1,518.30"
18-Nov-25,12.1,"1,519.40"
19-Nov-25,11.97,"1,518.90"
20-Nov-25,12.14,"1,549.10"
21-Nov-25,13.63,"1,546.60"
24-Nov-25,13.24,"1,535.90"
25-Nov-25,12.24,"1,539.70"
26-Nov-25,11.97,"1,569.90"
27-Nov-25,11.79,"1,563.40"
28-Nov-25,11.62,"1,567.50"
01-Dec-25,11.63,"1,566.10"
02-Dec-25,11.23,"1,546.30"
03-Dec-25,11.21,"1,538.80"
04-Dec-25,10.82,"1,535.60"
05-Dec-25,10.32,"1,540.60"
08-Dec-25,11.13,"1,543.00"
09-Dec-25,10.95,"1,529.40"
10-Dec-25,10.91,"1,536.90"
11-Dec-25,10.4,"1,545.00"
12-Dec-25,10.11,"1,556.50"
15-Dec-25,10.25,"1,556.20"
16-Dec-25,10.06,"1,542.30"
17-Dec-25,9.84,"1,544.40"
18-Dec-25,9.71,"1,544.40"
19-Dec-25,9.52,"1,565.10"
22-Dec-25,9.68,"1,575.40"
23-Dec-25,9.38,"1,570.70"
24-Dec-25,9.19,"1,558.20"
26-Dec-25,9.15,"1,559.20"
29-Dec-25,9.72,"1,545.60"
30-Dec-25,9.68,"1,539.80"
31-Dec-25,9.48,"1,570.40"
01-Jan-26,9.19,"1,575.60"
02-Jan-26,9.45,"1,592.30"
05-Jan-26,10.02,"1,578.10"
06-Jan-26,10.02,"1,507.60"
07-Jan-26,9.95,"1,504.20"
08-Jan-26,10.6,"1,470.60"
09-Jan-26,10.93,"1,475.30"
12-Jan-26,11.37,"1,483.20"
13-Jan-26,11.2,"1,452.80"
14-Jan-26,11.32,"1,458.80"
16-Jan-26,11.37,"1,457.90"
